"Site Crawled","https://www.visitsaltlake.com/"
"Start Date","2026-03-25"
"Start Time","00:50:07"
"Last Modified Date","2026-03-25"
"Last Modified Time","01:01:35"
"Elapsed","00:11:28"
"Report Date","2026-03-25"
"Report Time","01:02:27"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","8818","100.00%","8818","URLs Encountered"
"Total URLs Crawled","8770","99.46%","8818","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","8818","URLs Encountered"
"Total External blocked by robots.txt","48","0.54%","8818","URLs Encountered"
""
"URLs Displayed","8818","100.00%","8818","URLs Displayed"
"Total Internal URLs","2236","25.36%","8818","URLs Displayed"
"Total External URLs","6582","74.64%","8818","URLs Displayed"
"Total Internal Indexable URLs","1922","21.80%","8818","URLs Displayed"
"Total Internal Non-Indexable URLs","314","3.56%","8818","URLs Displayed"
""
"Internal"
"All","2236","100.00%","2236","Internal URLs"
"HTML","1960","87.66%","2236","Internal URLs"
"JavaScript","7","0.31%","2236","Internal URLs"
"CSS","115","5.14%","2236","Internal URLs"
"Images","10","0.45%","2236","Internal URLs"
"Media","0","0.00%","2236","Internal URLs"
"Fonts","0","0.00%","2236","Internal URLs"
"XML","0","0.00%","2236","Internal URLs"
"PDF","0","0.00%","2236","Internal URLs"
"Plugins","0","0.00%","2236","Internal URLs"
"Other","144","6.44%","2236","Internal URLs"
"Unknown","0","0.00%","2236","Internal URLs"
""
"External"
"All","6582","100.00%","6582","External URLs"
"HTML","1382","21.00%","6582","External URLs"
"JavaScript","12","0.18%","6582","External URLs"
"CSS","6","0.09%","6582","External URLs"
"Images","4110","62.44%","6582","External URLs"
"Media","0","0.00%","6582","External URLs"
"Fonts","0","0.00%","6582","External URLs"
"XML","0","0.00%","6582","External URLs"
"PDF","53","0.81%","6582","External URLs"
"Plugins","0","0.00%","6582","External URLs"
"Other","971","14.75%","6582","External URLs"
"Unknown","48","0.73%","6582","External URLs"
""
"Security"
"All","2236","100.00%","2236","All internal and non-HTML external URLs"
"HTTP URLs","1","0.04%","2236","All internal and non-HTML external URLs"
"HTTPS URLs","2235","99.96%","2236","All internal and non-HTML external URLs"
"Mixed Content","31","1.39%","2236","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","2236","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","2236","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","1801","80.55%","2236","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","1801","80.55%","2236","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","2236","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","2001","89.49%","2236","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","131","5.86%","2236","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","2001","89.49%","2236","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","2001","89.49%","2236","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","2236","All internal and non-HTML external URLs"
""
"Response Codes"
"All","8818","100.00%","8818","All Internal & External Crawled URLs"
"Blocked by Robots.txt","48","0.54%","8818","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","8818","All Internal & External Crawled URLs"
"No Response","867","9.83%","8818","All Internal & External Crawled URLs"
"Success (2xx)","7165","81.25%","8818","All Internal & External Crawled URLs"
"Redirection (3xx)","571","6.48%","8818","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","8818","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","8818","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","8818","All Internal & External Crawled URLs"
"Client Error (4xx)","166","1.88%","8818","All Internal & External Crawled URLs"
"Server Error (5xx)","1","0.01%","8818","All Internal & External Crawled URLs"
"Internal All","2236","25.36%","8818","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","8818","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","8818","All Internal Crawled URLs"
"Internal No Response","74","0.84%","8818","All Internal Crawled URLs"
"Internal Success (2xx)","2001","22.69%","8818","All Internal Crawled URLs"
"Internal Redirection (3xx)","156","1.77%","8818","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","8818","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","8818","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","8818","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","8818","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","8818","All Internal Crawled URLs"
"Internal Client Error (4xx)","5","0.06%","8818","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","8818","All Internal Crawled URLs"
"External All","6582","74.64%","8818","All External Crawled URLs"
"External Blocked by Robots.txt","48","0.54%","8818","All External Crawled URLs"
"External Blocked Resource","0","0.00%","8818","All External Crawled URLs"
"External No Response","793","8.99%","8818","All External Crawled URLs"
"External Success (2xx)","5164","58.56%","8818","All External Crawled URLs"
"External Redirection (3xx)","415","4.71%","8818","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","8818","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","8818","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","8818","All External Crawled URLs"
"External Client Error (4xx)","161","1.83%","8818","All External Crawled URLs"
"External Server Error (5xx)","1","0.01%","8818","All External Crawled URLs"
""
"URL"
"All","2236","100.00%","2236","Internal URLs"
"Non ASCII Characters","8","0.36%","2236","Internal URLs"
"Underscores","8","0.36%","2236","Internal URLs"
"Uppercase","30","1.34%","2236","Internal URLs"
"Multiple Slashes","0","0.00%","2236","Internal URLs"
"Repetitive Path","0","0.00%","2236","Internal URLs"
"Contains Space","0","0.00%","2236","Internal URLs"
"Internal Search","0","0.00%","2236","Internal URLs"
"Parameters","88","3.94%","2236","Internal URLs"
"Broken Bookmark","0","0.00%","2236","Internal URLs"
"GA Tracking Parameters","1","0.04%","2236","Internal URLs"
"Over 115 Characters","69","3.09%","2236","Internal URLs"
""
"Page Titles"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Missing","0","0.00%","1801","Internal HTML pages with 2xx response"
"Duplicate","55","3.05%","1801","Internal HTML pages with 2xx response"
"Over 60 Characters","808","44.86%","1801","Internal HTML pages with 2xx response"
"Below 30 Characters","226","12.55%","1801","Internal HTML pages with 2xx response"
"Over 561 Pixels","769","42.70%","1801","Internal HTML pages with 2xx response"
"Below 200 Pixels","131","7.27%","1801","Internal HTML pages with 2xx response"
"Same as H1","234","12.99%","1801","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1801","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","1801","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Missing","285","15.82%","1801","Internal HTML pages with 2xx response"
"Duplicate","21","1.17%","1801","Internal HTML pages with 2xx response"
"Over 155 Characters","643","35.70%","1801","Internal HTML pages with 2xx response"
"Below 70 Characters","10","0.56%","1801","Internal HTML pages with 2xx response"
"Over 985 Pixels","525","29.15%","1801","Internal HTML pages with 2xx response"
"Below 400 Pixels","9","0.50%","1801","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1801","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","1801","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Missing","1722","95.61%","1801","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","1801","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1801","Internal HTML pages with 2xx response"
""
"H1"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Missing","775","43.03%","1801","Internal HTML pages with 2xx response"
"Duplicate","69","3.83%","1801","Internal HTML pages with 2xx response"
"Over 70 Characters","38","2.11%","1801","Internal HTML pages with 2xx response"
"Multiple","36","2.00%","1801","Internal HTML pages with 2xx response"
"Alt Text in H1","13","0.72%","1801","Internal HTML pages with 2xx response"
"Non-Sequential","727","40.37%","1801","Internal HTML pages with 2xx response"
""
"H2"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Missing","3","0.17%","1801","Internal HTML pages with 2xx response"
"Duplicate","1491","82.79%","1801","Internal HTML pages with 2xx response"
"Over 70 Characters","21","1.17%","1801","Internal HTML pages with 2xx response"
"Multiple","1722","95.61%","1801","Internal HTML pages with 2xx response"
"Non-Sequential","218","12.10%","1801","Internal HTML pages with 2xx response"
""
"Content"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Exact Duplicates","8","0.44%","1801","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","1801","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","1801","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","1801","Internal HTML pages with 2xx response"
"Low Content Pages","1048","58.19%","1801","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","1801","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","1801","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","1801","Internal HTML pages with 2xx response"
"Readability Difficult","39","2.17%","1801","Internal HTML pages with 2xx response"
"Readability Very Difficult","3","0.17%","1801","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","1801","Internal HTML pages with 2xx response"
""
"Images"
"All","4120","100.00%","4120","Images with 2xx response"
"Over 100 KB","439","10.66%","4120","Images with 2xx response"
"Missing Alt Text","139","3.37%","4120","Images with 2xx response"
"Missing Alt Attribute","3","0.07%","4120","Images with 2xx response"
"Alt Text Over 100 Characters","197","4.78%","4120","Images with 2xx response"
"Background Images","0","0.00%","4120","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","4120","Images with 2xx response"
"Missing Size Attributes","596","14.47%","4120","Images with 2xx response"
""
"Canonicals"
"All","1801","100.00%","1801","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","1560","86.62%","1801","Internal HTML or PDF pages with 2xx response"
"Self Referencing","1509","83.79%","1801","Internal HTML or PDF pages with 2xx response"
"Canonicalised","51","2.83%","1801","Internal HTML or PDF pages with 2xx response"
"Missing","235","13.05%","1801","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","1801","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","1801","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","8","0.44%","1801","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","1801","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","1801","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","1801","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","1801","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","1801","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Contains Pagination","96","5.33%","1801","Internal HTML pages with 2xx response"
"First Page","41","2.28%","1801","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","55","3.05%","1801","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","96","5.33%","1801","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","9","0.50%","1801","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","1801","Internal HTML pages with 2xx response"
"Non-Indexable","43","2.39%","1801","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","1801","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","1801","Internal HTML pages with 2xx response"
"Sequence Error","60","3.33%","1801","Internal HTML pages with 2xx response"
""
"Directives"
"All","2001","100.00%","2001","Internal URLs with 2xx response"
"Index","0","0.00%","2001","Internal URLs with 2xx response"
"Noindex","29","1.45%","2001","Internal URLs with 2xx response"
"Follow","0","0.00%","2001","Internal URLs with 2xx response"
"Nofollow","0","0.00%","2001","Internal URLs with 2xx response"
"None","0","0.00%","2001","Internal URLs with 2xx response"
"NoArchive","0","0.00%","2001","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","2001","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","2001","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","2001","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","2001","Internal URLs with 2xx response"
"NoODP","0","0.00%","2001","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","2001","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","2001","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","2001","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","2001","Internal URLs with 2xx response"
"Refresh","0","0.00%","1960","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","2001","Internal URLs with 2xx response"
""
"Hreflang"
"All","1801","100.00%","1801","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","1801","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","1801","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","1801","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","1801","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","1801","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","1801","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","1801","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","1801","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","1801","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","1801","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","1801","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","1801","Internal pages with 2xx response"
"Missing","0","0.00%","1801","Internal pages with 2xx response"
"Outside <head>","0","0.00%","1801","Internal pages with 2xx response"
""
"JavaScript"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","1801","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","1801","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","1801","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","1801","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","1801","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","1801","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","1801","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","1801","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","1801","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","1801","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","1801","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","1801","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","1801","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","1801","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","1801","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","1801","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","1801","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","1801","Internal HTML pages with 2xx response"
""
"Links"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","1801","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","1801","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","1","0.06%","1801","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","138","7.66%","1801","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","437","24.26%","1801","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","1801","100.00%","1801","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","182","10.11%","1801","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","1801","Internal HTML pages with 2xx response"
